Time,Trace_vel,Backaz,MdCCM,Sigma_tau,datetime,airt_c_avg,nearest_met_time,met_time_difference_s,vel_corrected_5C,label,Pressure,Duration_seconds
20211.43138888889,0.3254368651185313,327.88510952809924,0.803491924508001,0.0218283458789022,2025-05-03 10:21:12.000000,-0.743,2023-01-11 06:00:00,-232.0,0.3288494714907219,Glacier,0.08422784872348121,20.0
20379.038009259257,0.3311288154561314,333.765946051335,0.564665672569332,0.0107331709876177,2025-10-18 00:54:44.000000,9.29,2023-07-06 17:15:00,-160.0,0.3286044241574326,Glacier,0.026939121924572033,20.0
19920.935462962963,0.3257866101271523,332.159566584576,0.8837288287739723,0.0080931961743617,2024-07-16 22:27:04.000000,-1.158,2025-11-26 14:45:00,-387.999999,0.3294539338974667,Glacier,0.30657867856680154,20.0
19735.78379629629,0.3307394127004359,330.522430450154,0.9299333581227746,0.0184776330379776,2024-01-13 18:48:40.000000,3.47,2025-06-01 15:15:00,-292.0,0.3316528200974519,Glacier,0.08275350259859851,20.0
19626.58037037037,0.3262387339095405,331.0682526029144,0.7769393599207204,0.0056962840715926,2023-09-26 13:55:44.000000,-1.16,2025-02-23 07:45:00,-120.0,0.3299123601104117,Glacier,0.1795187260961869,20.0
19911.28976851852,0.323535517400129,329.2023445754558,0.482783202009857,0.0079935351125247,2024-07-07 06:57:16.000000,-2.582,2025-11-16 21:15:00,-208.000001,0.3280373391257445,Glacier,0.06413789505746836,20.0
20332.35263888889,0.3310974770322357,327.2622990673088,0.80896154482848,0.0060651178942875,2025-09-01 08:27:48.000000,6.152,2023-05-18 00:30:00,-376.0,0.3304139545201927,Glacier,0.19833029206689945,20.0
19565.223935185182,0.3244173646238632,326.4014568908715,0.9326198852832354,0.0097039557819346,2023-07-27 05:22:28.000000,-4.975,2024-11-14 01:15:00,-112.0,0.3303957707796506,Glacier,0.8442129340047436,20.0
20330.54902777778,0.3287540095728301,326.7149274125219,0.7459422900244738,0.0077416613441316,2025-08-30 13:10:36.000000,4.254,2023-05-16 04:15:00,-444.0,0.3291957584831311,Glacier,0.490828858562557,20.0
19655.32925925926,0.3263164277488276,333.39918763300733,0.781885302689315,0.0065601135705903,2023-10-25 07:54:08.000000,-2.18,2025-03-22 14:15:00,-428.0,0.3306114303357428,Glacier,0.08644788477458187,20.0
19647.08453703704,0.3230195139041004,333.28086068943736,0.9640554682815335,0.0086371167484069,2023-10-17 02:01:44.000000,-9.38,2025-03-15 09:30:00,348.0,0.33170772956896827,Glacier,1.9846709359524208,20.0
19579.71476851852,0.3295433269038933,330.1898370893388,0.8348186610145704,0.0079296550022983,2023-08-10 17:09:16.000000,1.133,2025-01-10 04:45:00,148.0,0.33185824219594023,Glacier,0.23207861655755585,20.0
19256.55087962963,0.3268091363622094,327.438869049036,0.4831721612852314,0.0053714512845563,2022-09-21 13:13:16.000000,-2.805,2024-01-09 11:30:00,-200.0,0.3314931438944358,Glacier,0.14954438041265042,20.0
19626.886203703703,0.3262387339095405,331.0682526029144,0.7862648680598532,0.0056962840715926,2023-09-26 21:16:08.000000,-0.212,2025-02-23 15:00:00,-124.0,0.32933891675336885,Glacier,0.10798893012247796,20.0
19985.91148148148,0.327389524511687,330.6741976789908,0.6564206998204541,0.0059359565438637,2024-09-19 21:52:32.000000,2.274,2026-01-29 01:30:00,412.0,0.329005698886444,Glacier,0.23552501229442108,20.0
19604.937407407408,0.3262423183907143,332.8840502402025,0.7232268891566285,0.0051802835775884,2023-09-04 22:29:52.000000,-2.737,2025-02-03 01:00:00,64.0,0.33087659182440293,Glacier,0.10908836546171069,20.0
20384.54462962963,0.3310295751951496,328.9726022266674,0.5226180881315817,0.0079909681430853,2025-10-23 13:04:16.000000,8.07,2023-07-12 05:30:00,76.0,0.32921773820336386,Glacier,0.05648832573193088,20.0
20325.460185185188,0.3299373062032646,329.12089784392026,0.8687284659396359,0.0071888547767438,2025-08-25 11:02:40.000000,4.158,2023-05-11 02:45:00,-188.0,0.33043782665781846,Glacier,0.20143325831576608,20.0
20299.52657407406,0.3255439089243279,331.14236560895995,0.3488370235657957,0.0060545748469137,2025-07-30 12:38:15.999999,-3.666,2023-04-11 22:45:00,76.0,0.33073687113045624,Glacier,0.04384821959512804,20.0
19633.84601851852,0.3262387339095405,331.0682526029144,0.6101751257864922,0.0056962840715926,2023-10-03 20:18:16.000000,1.458,2025-03-02 11:45:00,64.0,0.32833596940818827,Glacier,0.04653709085938229,20.0
19973.850231481483,0.32575353095781,332.4297088502988,0.3456142514842528,0.0067025199164717,2024-09-07 20:24:20.000000,-0.176,2026-01-16 17:00:00,92.0,0.3288274178743317,Glacier,0.17147841518822865,20.0
20314.32254629629,0.3290184863110124,327.4848885558789,0.8693362344182349,0.006400524770322,2025-08-14 07:44:28.000000,0.598,2023-04-29 19:00:00,-84.0,0.33165332423982424,Glacier,1.0619852498071967,20.0
19911.529907407406,0.3250807901888921,331.45952862814704,0.8359157576313537,0.0064220889991774,2024-07-07 12:43:04.000000,-0.543,2025-11-17 03:00:00,-204.0,0.3283691412176003,Glacier,0.2758544224219853,20.0
20350.575416666667,0.329910902729128,328.26548966931534,0.9310112126044416,0.0080926541486722,2025-09-19 13:48:36.000000,5.46,2023-06-05 00:15:00,-40.0,0.32963843995395575,Glacier,0.3889156694285389,20.0
20223.689583333333,0.3288038899331788,326.5677627734144,0.4774326908868201,0.0209563936124526,2025-05-15 16:33:00.000000,-0.047,2023-01-23 17:30:00,336.0,0.3318281635862469,Glacier,0.024664473318998487,20.0
19253.58439814815,0.3265202694126183,329.4369843246207,0.9581494754077542,0.0080823643427712,2022-09-18 14:01:32.000000,-2.725,2024-01-06 11:45:00,-2992.0,0.3311511435481162,Glacier,1.2654943036413673,20.0
20339.526898148142,0.3300068426211177,327.1332508629866,0.4982178996813181,0.0076254731028182,2025-09-08 12:38:44.000000,5.245,2023-05-25 01:30:00,-48.0,0.3298616002989804,Glacier,0.1321923012186456,20.0
19253.19550925925,0.3239280951615631,333.4989257163583,0.6154610383123325,0.0063605435210364,2022-09-18 04:41:31.999999,-2.725,2024-01-06 11:45:00,-37276.0,0.3285222057824544,Glacier,0.08616206474312385,20.0
