event_id_,datetime_min,datetime_max,datetime_count,Backaz_mean,Backaz_tolist,Trace_vel_mean,Trace_vel_tolist,MdCCM_mean,MdCCM_max,MdCCM_min,MdCCM_tolist,Sigma_tau_mean,Sigma_tau_max,Sigma_tau_min,Sigma_tau_tolist,airt_c_avg_median,vel_corrected_5C_mean,vel_corrected_5C_tolist,label_first,label_last,label_nunique,label_tolist,Pressure,Duration_seconds,Infrasound_param
20231202_1,2023-12-02 01:11:40.000000,2023-12-02 01:11:40.000000,1,305.1575537759584,[305.1575537759584],0.3309212872204348,[0.3309212872204348],0.5357300658421408,0.5357300658421408,0.5357300658421408,[0.5357300658421408],0.0098424516625926,0.0098424516625926,0.0098424516625926,[0.0098424516625926],-0.083,0.3339870498226526,[0.3339870498226526],box2,box2,1,['box2'],0.0199404970012146,20.0,0.3988099400242922
20231202_2,2023-12-02 07:35:08.000000,2023-12-02 07:35:08.000000,1,280.76776004975113,[280.76776004975113],0.3321830531015978,[0.3321830531015978],0.6407981281558058,0.6407981281558058,0.6407981281558058,[0.6407981281558058],0.0183087192192887,0.0183087192192887,0.0183087192192887,[0.0183087192192887],-1.613,0.3362037062936807,[0.33620370629368074],box1,box1,1,['box1'],0.0657901006539256,20.0,1.315802013078513
20231208_1,2023-12-08 04:11:44.000000,2023-12-08 04:12:03.999999,6,278.3704992182104,"[279.29049919039323, 278.1834623714165, 278.1834623714165, 278.1834623714165, 278.19864663320305, 278.1834623714165]",0.3282979711228566,"[0.3313580389582055, 0.3279808812873241, 0.3279808812873241, 0.3279808812873241, 0.3265062626296378, 0.3279808812873241]",0.6097669853648185,0.6536587914822103,0.5766500757507517,"[0.5766500757507517, 0.6039305207219023, 0.6536587914822103, 0.6519380769593743, 0.5931461501551175, 0.5792782971195551]",0.0048591345871419,0.0110798292751593,0.0034493814560406,"[0.0110798292751593, 0.0036563991979129, 0.0036563991979129, 0.0036563991979129, 0.0034493814560406, 0.0036563991979129]",-7.614,0.3360052216425392,"[0.33913712881741737, 0.33568068768302595, 0.33568068768302595, 0.33568068768302595, 0.33417145030571455, 0.33568068768302595]",box1,box1,1,"['box1', 'box1', 'box1', 'box1', 'box1', 'box1']",0.0373785333286635,39.999999,1.4951412957680106
20231208_2,2023-12-08 04:12:12.000000,2023-12-08 04:12:12.000000,1,278.1626978657204,[278.1626978657204],0.3285487521608721,[0.3285487521608721],0.4160254054323332,0.4160254054323332,0.4160254054323332,[0.4160254054323332],0.0037688849098349,0.0037688849098349,0.0037688849098349,[0.0037688849098349],-7.614,0.3362618901134833,[0.33626189011348334],box1,box1,1,['box1'],0.0399457013804151,20.0,0.7989140276083029
20231210_1,2023-12-10 07:48:20.000000,2023-12-10 07:48:20.000000,1,280.48109020595206,[280.48109020595206],0.3303778270192611,[0.3303778270192611],0.8210880284737961,0.8210880284737961,0.8210880284737961,[0.8210880284737961],0.0181867666875892,0.0181867666875892,0.0181867666875892,[0.0181867666875892],-9.22,0.3391611081995529,[0.3391611081995529],box1,box1,1,['box1'],0.1105677249566596,20.0,2.211354499133193
20231214_1,2023-12-14 02:39:44.000000,2023-12-14 02:39:44.000000,1,278.5531910334541,[278.5531910334541],0.3272166815563583,[0.3272166815563583],0.9204679929150976,0.9204679929150976,0.9204679929150976,[0.9204679929150976],0.0269206860426674,0.0269206860426674,0.0269206860426674,[0.0269206860426674],-3.471,0.3323161161667364,[0.33231611616673645],box1,box1,1,['box1'],0.1736880317875222,20.0,3.4737606357504447
20231214_2,2023-12-14 04:51:40.000000,2023-12-14 04:52:16.000000,10,279.37257231852635,"[279.2354170973844, 279.4405605905547, 279.4405605905547, 279.4405605905547, 279.6743508104665, 279.6743508104665, 279.46947222772644, 279.2354170973844, 279.1996472743847, 278.91538609578674]",0.328070614156208,"[0.3276689831540011, 0.3273263954270656, 0.3273263954270656, 0.3273263954270656, 0.327294467090974, 0.327294467090974, 0.3276417765560989, 0.3276689831540011, 0.3290940220523867, 0.3320642561824476]",0.8051903044582834,0.8586827978699731,0.6990731172657807,"[0.817123856068572, 0.8447093970816476, 0.8567003793280648, 0.8586827978699731, 0.8470106133812063, 0.8274210878776679, 0.8154509074018872, 0.7783303917053274, 0.7074004966027071, 0.6990731172657807]",0.0106413143955135,0.0128918542164328,0.0098594568541332,"[0.010540192902304, 0.0103917440027836, 0.0103917440027836, 0.0103917440027836, 0.0098594568541332, 0.0098594568541332, 0.010062671719433, 0.010540192902304, 0.0114840864980446, 0.0128918542164328]",-4.156,0.3336073168592149,"[0.33319890770815974, 0.33285053827962735, 0.33285053827962735, 0.33285053827962735, 0.3328180711031242, 0.3328180711031242, 0.33317124195653375, 0.33319890770815974, 0.33464799635797116, 0.33766835781619514]",box1,box1,1,"['box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1']",0.0394488091595122,56.0,2.2091333129326847
20240102_1,2024-01-02 08:55:40.000000,2024-01-02 08:55:40.000000,1,302.4588598111385,[302.4588598111385],0.3245201761552407,[0.3245201761552407],0.8654519955576945,0.8654519955576945,0.8654519955576945,[0.8654519955576945],0.0278417382097065,0.0278417382097065,0.0278417382097065,[0.0278417382097065],-0.934,0.3280381931730392,[0.3280381931730392],box2,box2,1,['box2'],0.1118912779026081,20.0,2.2378255580521627
20240105_1,2024-01-05 19:59:20.000000,2024-01-05 19:59:20.000000,1,306.99801480860134,[306.99801480860134],0.3292068920806195,[0.3292068920806195],0.6720936720818588,0.6720936720818588,0.6720936720818588,[0.6720936720818588],0.0293366996859457,0.0293366996859457,0.0293366996859457,[0.0293366996859457],-2.725,0.3338758692455172,[0.33387586924551726],box2,box2,1,['box2'],0.0548898862230703,20.0,1.097797724461406
20240108_1,2024-01-08 03:09:28.000000,2024-01-08 03:09:28.000000,1,278.09757664722224,[278.09757664722224],0.3290256860588856,[0.3290256860588856],0.8255707165254451,0.8255707165254451,0.8255707165254451,[0.8255707165254451],0.0288033702482267,0.0288033702482267,0.0288033702482267,[0.0288033702482267],-1.939,0.3332082038032875,[0.33320820380328753],box1,box1,1,['box1'],0.1042032186319936,20.0,2.0840643726398724
20240705_1,2024-07-05 00:04:08.000000,2024-07-05 00:04:08.000000,1,281.2275680367688,[281.2275680367688],0.3390409160135324,[0.3390409160135324],0.6187428639645076,0.6187428639645076,0.6187428639645076,[0.6187428639645076],0.0221084733719437,0.0221084733719437,0.0221084733719437,[0.0221084733719437],7.525,0.33751243578043,[0.33751243578043005],box1,box1,1,['box1'],0.1238514517979717,20.0,2.477029035959435
20240707_1,2024-07-07 00:35:44.000000,2024-07-07 00:35:48.000000,2,281.90984155244155,"[281.90984155244155, 281.90984155244155]",0.3225110893059881,"[0.3225110893059881, 0.3225110893059881]",0.4366143629545183,0.4461846493645023,0.4270440765445342,"[0.4461846493645023, 0.4270440765445342]",0.0065522899524608,0.0065522899524608,0.0065522899524608,"[0.0065522899524608, 0.0065522899524608]",6.857,0.3214398671987741,"[0.32143986719877415, 0.32143986719877415]",box1,box1,1,"['box1', 'box1']",0.0772626393142616,24.0,1.8543033435422789
20240803_1,2024-08-03 13:21:32.000000,2024-08-03 13:21:52.000000,6,284.71330808364763,"[287.73056225295096, 286.93819740719994, 284.5995590745883, 283.4284860575748, 282.9569635008072, 282.6260802087647]",0.3258971288976363,"[0.3297123047295545, 0.326171859395523, 0.3266092063875276, 0.3244938454101557, 0.3260971126620268, 0.3222984448010299]",0.4687906238859377,0.4733036353126493,0.4629778262726482,"[0.4629778262726482, 0.4704633058071733, 0.4712437593895323, 0.4677314109646699, 0.4733036353126493, 0.4670238055689533]",0.0083111176149798,0.0090022724167303,0.0069713546634856,"[0.0087744729902149, 0.0081753258893082, 0.0089214396757577, 0.0090022724167303, 0.0080218400543825, 0.0069713546634856]",11.09,0.3223869617021278,"[0.326161045103758, 0.32265873313748905, 0.3230913695600278, 0.3209987926763193, 0.3225847914848255, 0.31882703825034714]",box1,box1,1,"['box1', 'box1', 'box1', 'box1', 'box1', 'box1']",0.0472848890610402,40.0,1.89139556244161
20240811_1,2024-08-11 22:35:16.000000,2024-08-11 22:35:48.000000,9,282.55207904141486,"[283.74327414823995, 283.74327414823995, 283.74327414823995, 282.1920865578909, 282.3994210046809, 282.81647497345404, 281.93176498771425, 281.93176498771425, 280.4673764165595]",0.3294513855162467,"[0.3339945517997408, 0.3339945517997408, 0.3339945517997408, 0.3285222574679985, 0.3260218702688222, 0.3264034815865427, 0.3257245405013843, 0.3257245405013843, 0.330682123920866]",0.493299983534862,0.5395593092724094,0.4566250554078208,"[0.4905703383138721, 0.5395593092724094, 0.5358474796933849, 0.530749038345735, 0.4897563256908886, 0.4699935042643933, 0.4676671287156858, 0.4566250554078208, 0.4589316721095682]",0.0109297885243295,0.0188352000701307,0.0066563481654996,"[0.0188352000701307, 0.0188352000701307, 0.0188352000701307, 0.0075704150701681, 0.007098964379692, 0.0072059764117874, 0.0066563481654996, 0.0066563481654996, 0.0066744443159267]",8.13,0.3276132392150028,"[0.3321310572842624, 0.3321310572842624, 0.3321310572842624, 0.3266892951585676, 0.3242028586595064, 0.32458234080897014, 0.3239071878185028, 0.3239071878185028, 0.3288371108181889]",box1,box1,1,"['box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1', 'box1']",0.1301623071041764,52.0,6.768439969417174
20240822_1,2024-08-22 13:28:36.000000,2024-08-22 13:28:36.000000,1,304.60869201635313,[304.60869201635313],0.3373145015739886,[0.3373145015739886],0.6565199366731335,0.6565199366731335,0.6565199366731335,[0.6565199366731335],0.0157423324253044,0.0157423324253044,0.0157423324253044,[0.0157423324253044],10.68,0.3339222791743921,[0.33392227917439216],box2,box2,1,['box2'],0.0674593903650075,20.0,1.3491878073001515
20240827_1,2024-08-27 02:36:40.000000,2024-08-27 02:36:40.000000,1,308.76797977301595,[308.76797977301595],0.3347790071576944,[0.3347790071576944],0.508144726863917,0.508144726863917,0.508144726863917,[0.508144726863917],0.0197727747754812,0.0197727747754812,0.0197727747754812,[0.0197727747754812],7.06,0.3335461515520993,[0.3335461515520993],box2,box2,1,['box2'],0.0759973565660125,20.0,1.5199471313202506
20240829_1,2024-08-29 13:00:20.000000,2024-08-29 13:00:20.000000,1,281.0996503293171,[281.0996503293171],0.3284494044243016,[0.3284494044243016],0.5365722245838954,0.5365722245838954,0.5365722245838954,[0.5365722245838954],0.0170536626774897,0.0170536626774897,0.0170536626774897,[0.0170536626774897],7.949,0.3267219861704779,[0.3267219861704779],box1,box1,1,['box1'],0.0502839789993491,20.0,1.0056795799869835
20240829_2,2024-08-29 13:05:36.000000,2024-08-29 13:05:36.000000,1,282.4284157955546,[282.4284157955546],0.3282504733822177,[0.3282504733822177],0.4041148919567252,0.4041148919567252,0.4041148919567252,[0.4041148919567252],0.0077621930326354,0.0077621930326354,0.0077621930326354,[0.0077621930326354],7.949,0.3265241013690287,[0.3265241013690287],box1,box1,1,['box1'],0.1003044142260613,20.0,2.006088284521227
20240902_1,2024-09-02 07:52:16.000000,2024-09-02 07:52:32.000000,5,304.4435530215213,"[304.32753535322973, 304.32753535322973, 304.6984317600014, 303.88242387698284, 304.98183876416283]",0.3289643717170128,"[0.3285917762615715, 0.3285917762615715, 0.3285495023823803, 0.3286071766925664, 0.3304816269869747]",0.4442287667980035,0.4777230494204906,0.4059055024474741,"[0.4174954848634009, 0.4059055024474741, 0.4702247836680902, 0.4777230494204906, 0.449795013590562]",0.0111830970662129,0.0139395034548836,0.0091331811071401,"[0.0096011721638194, 0.0096011721638194, 0.0136404564414023, 0.0091331811071401, 0.0139395034548836]",7.342,0.3275681932177373,"[0.327217093440144, 0.327217093440144, 0.3271749964161869, 0.32723242944253944, 0.32899935334967223]",box2,box2,1,"['box2', 'box2', 'box2', 'box2', 'box2']",0.0660587522509204,36.0,2.378115081033135
20240902_2,2024-09-02 09:14:36.000000,2024-09-02 09:14:36.000000,1,302.32177270330084,[302.32177270330084],0.3199279286728652,[0.3199279286728652],0.4179509758871879,0.4179509758871879,0.4179509758871879,[0.4179509758871879],0.0111548890015289,0.0111548890015289,0.0111548890015289,[0.0111548890015289],7.685,0.3183948762500297,[0.31839487625002977],box2,box2,1,['box2'],0.0931740234885785,20.0,1.8634804697715703
20240905_1,2024-09-05 04:53:20.000000,2024-09-05 04:53:24.000000,2,309.4849538725683,"[309.113503751827, 309.8564039933096]",0.3331820948412871,"[0.3307450698461272, 0.335619119836447]",0.4191780197752532,0.4219376075925506,0.4164184319579558,"[0.4219376075925506, 0.4164184319579558]",0.0138263189508604,0.0167669640835095,0.0108856738182113,"[0.0108856738182113, 0.0167669640835095]",10.22,0.3300990325362147,"[0.327684558272368, 0.3325135068000616]",box2,box2,1,"['box2', 'box2']",0.0862347240118035,24.0,2.069633376283285
20240922_1,2024-09-22 17:09:03.999999,2024-09-22 17:09:03.999999,1,289.80813745589705,[289.80813745589705],0.3209414502206694,[0.3209414502206694],0.6261716234409487,0.6261716234409487,0.6261716234409487,[0.6261716234409487],0.0273451314087307,0.0273451314087307,0.0273451314087307,[0.0273451314087307],4.954,0.3209679919034152,[0.3209679919034152],box1,box1,1,['box1'],0.0833289937996082,20.0,1.6665798759921648
20240927_1,2024-09-27 20:05:56.000000,2024-09-27 20:05:56.000000,1,284.6123506287229,[284.6123506287229],0.3353054473857968,[0.3353054473857968],0.4983358618344261,0.4983358618344261,0.4983358618344261,[0.4983358618344261],0.0262679718826609,0.0262679718826609,0.0262679718826609,[0.0262679718826609],5.843,0.3347984878254122,[0.33479848782541227],box1,box1,1,['box1'],0.0524503969945231,20.0,1.0490079398904624
20240928_1,2024-09-28 04:12:24.000000,2024-09-28 04:12:24.000000,1,306.92943385933324,[306.92943385933324],0.3341040559964724,[0.3341040559964724],0.4503534307931455,0.4503534307931455,0.4503534307931455,[0.4503534307931455],0.0242857409139011,0.0242857409139011,0.0242857409139011,[0.0242857409139011],4.741,0.3342597155847303,[0.3342597155847303],box2,box2,1,['box2'],0.0301877670335341,20.0,0.603755340670683
20240929_1,2024-09-29 13:33:52.000000,2024-09-29 13:33:56.000000,2,309.94129534151665,"[309.9274246026424, 309.9551660803909]",0.3361974117350716,"[0.3362084845049556, 0.3361863389651876]",0.5861416361016036,0.5938058299251564,0.5784774422780509,"[0.5784774422780509, 0.5938058299251564]",0.0104269228254808,0.0109163638282434,0.0099374818227183,"[0.0109163638282434, 0.0099374818227183]",6.455,0.3353215238331052,"[0.33533256775533943, 0.335310479910871]",box2,box2,1,"['box2', 'box2']",0.1441027728799712,24.0,3.4584665491193087
20240929_2,2024-09-29 20:12:44.000000,2024-09-29 20:12:44.000000,1,307.9702360690717,[307.9702360690717],0.3245275206158049,[0.3245275206158049],0.4908937890264642,0.4908937890264642,0.4908937890264642,[0.4908937890264642],0.0259536255268846,0.0259536255268846,0.0259536255268846,[0.0259536255268846],5.694,0.3241234193803591,[0.32412341938035916],box2,box2,1,['box2'],0.089316708684539,20.0,1.7863341736907818
20241006_1,2024-10-06 21:25:20.000000,2024-10-06 21:25:36.000000,5,304.2383905629053,"[304.47856038242736, 304.11417925817426, 304.47856038242736, 303.9384771657296, 304.1821756257683]",0.3213295305729537,"[0.3184966907376825, 0.3236952793968368, 0.3184966907376825, 0.3247071515087867, 0.3212518404837803]",0.4552407722019058,0.4881331746778077,0.4195401408258931,"[0.4753767295454006, 0.4881331746778077, 0.4490582464114038, 0.4195401408258931, 0.4440955695490238]",0.0103177542070829,0.0114649532853759,0.0091018796570524,"[0.0114649532853759, 0.0098171949878564, 0.0114649532853759, 0.0091018796570524, 0.009739789819754]",3.33,0.3222985200621612,"[0.3194571376194922, 0.32467140295100355, 0.3194571376194922, 0.32568632642719986, 0.3222205956936183]",box2,box2,1,"['box2', 'box2', 'box2', 'box2', 'box2']",0.0583053531928608,36.0,2.0989927149429914
20241010_1,2024-10-10 01:49:40.000000,2024-10-10 01:49:44.000000,2,305.35530899056414,"[304.849575503707, 305.8610424774213]",0.3222256638606915,"[0.3247804306553667, 0.3196708970660164]",0.5364379561270786,0.5747892456665344,0.4980866665876227,"[0.4980866665876227, 0.5747892456665344]",0.0104402202734495,0.0120368098138343,0.0088436307330648,"[0.0120368098138343, 0.0088436307330648]",1.985,0.3239863692328643,"[0.32655509578346376, 0.3214176426822649]",box2,box2,1,"['box2', 'box2']",0.0284579685211196,24.0,0.6829912445068704
20241010_2,2024-10-10 08:57:48.000000,2024-10-10 08:57:56.000000,3,283.65349945120334,"[283.8459650619278, 284.415801789594, 282.6987315020882]",0.3220856741658695,"[0.3201499693951206, 0.3205981645866228, 0.3255088885158652]",0.4206244002555779,0.427097486912402,0.415277708782248,"[0.427097486912402, 0.415277708782248, 0.4194980050720838]",0.0073110096420113,0.0083936010780505,0.0060775929472952,"[0.0083936010780505, 0.0074618349006883, 0.0060775929472952]",-0.147,0.325107681513068,"[0.32315381476087, 0.32360621519734384, 0.32856301458099024]",box1,box1,1,"['box1', 'box1', 'box1']",0.0106144048982877,28.0,0.2972033371520566
20241011_1,2024-10-11 01:03:56.000000,2024-10-11 01:03:56.000000,1,304.8645628073237,[304.8645628073237],0.3314656014752444,[0.3314656014752444],0.6601569354412686,0.6601569354412686,0.6601569354412686,[0.6601569354412686],0.0298916680887232,0.0298916680887232,0.0298916680887232,[0.0298916680887232],0.699,0.3340584161776372,[0.33405841617763726],box2,box2,1,['box2'],0.1249691555675718,20.0,2.499383111351436
20241020_1,2024-10-20 06:43:24.000000,2024-10-20 06:43:24.000000,1,283.203438884676,[283.203438884676],0.3257680026039484,[0.3257680026039484],0.6047450219395535,0.6047450219395535,0.6047450219395535,[0.6047450219395535],0.0244763468460505,0.0244763468460505,0.0244763468460505,[0.0244763468460505],-2.833,0.3304542012759934,[0.3304542012759934],box1,box1,1,['box1'],0.1176291774543541,20.0,2.352583549087082
20241025_1,2024-10-25 18:54:08.000000,2024-10-25 18:54:08.000000,1,305.8406824665386,[305.8406824665386],0.3340730274316572,[0.3340730274316572],0.5492685649323411,0.5492685649323411,0.5492685649323411,[0.5492685649323411],0.0281249836712424,0.0281249836712424,0.0281249836712424,[0.0281249836712424],2.348,0.3356771039721647,[0.3356771039721647],box2,box2,1,['box2'],0.0299017937755218,20.0,0.5980358755104378
20241028_1,2024-10-28 16:57:40.000000,2024-10-28 16:57:40.000000,1,283.21075567711483,[283.21075567711483],0.3362703267977769,[0.3362703267977769],0.5848736844056366,0.5848736844056366,0.5848736844056366,[0.5848736844056366],0.0223121732271945,0.0223121732271945,0.0223121732271945,[0.0223121732271945],-0.707,0.3397740846459184,[0.3397740846459184],box1,box1,1,['box1'],0.0611561897504673,20.0,1.223123795009348
