event_id_,datetime_min,datetime_max,datetime_count,Backaz_mean,Backaz_tolist,Trace_vel_mean,Trace_vel_tolist,MdCCM_mean,MdCCM_max,MdCCM_min,MdCCM_tolist,Sigma_tau_mean,Sigma_tau_max,Sigma_tau_min,Sigma_tau_tolist,airt_c_avg_median,vel_corrected_5C_mean,vel_corrected_5C_tolist,label_first,label_last,label_nunique,label_tolist
20250112_1,2025-01-12 00:11:52.000000,2025-01-12 00:11:52.000000,1,278.75661250421854,[278.75661250421854],0.3390791483292969,[0.3390791483292969],0.805541094033486,0.805541094033486,0.805541094033486,[0.805541094033486],0.0082160336078814,0.0082160336078814,0.0082160336078814,[0.0082160336078814],6.297,0.3382913475327637,[0.3382913475327637],Kite,Kite,1,['Kite']
20250112_2,2025-01-12 19:18:08.000000,2025-01-12 19:18:08.000000,1,305.78200849433904,[305.78200849433904],0.3367123463537106,[0.3367123463537106],0.6970645106929377,0.6970645106929377,0.6970645106929377,[0.6970645106929377],0.0183352871922259,0.0183352871922259,0.0183352871922259,[0.0183352871922259],6.696,0.3356904771803305,[0.3356904771803305],Prow,Prow,1,['Prow']
20250121_1,2025-01-21 03:33:28.000000,2025-01-21 03:33:28.000000,1,304.2510654940522,[304.2510654940522],0.3389358834577501,[0.3389358834577501],0.8785437302764413,0.8785437302764413,0.8785437302764413,[0.8785437302764413],0.0191053941984198,0.0191053941984198,0.0191053941984198,[0.0191053941984198],3.976,0.3395615019910606,[0.3395615019910606],Prow,Prow,1,['Prow']
20250124_1,2025-01-24 06:58:04.000000,2025-01-24 06:58:04.000000,1,307.64486731096576,[307.64486731096576],0.3338045088251073,[0.3338045088251073],0.8547116984510876,0.8547116984510876,0.8547116984510876,[0.8547116984510876],0.0158062644010383,0.0158062644010383,0.0158062644010383,[0.0158062644010383],6.409,0.332962245336691,[0.332962245336691],Prow,Prow,1,['Prow']
20250125_1,2025-01-25 03:48:52.000000,2025-01-25 03:48:52.000000,1,307.6602832672471,[307.6602832672471],0.3375490689434729,[0.3375490689434729],0.7754588356684036,0.7754588356684036,0.7754588356684036,[0.7754588356684036],0.0139109334600894,0.0139109334600894,0.0139109334600894,[0.0139109334600894],4.881,0.3376212983747466,[0.3376212983747466],Prow,Prow,1,['Prow']
20250426_1,2025-04-26 13:53:08.000000,2025-04-26 13:53:08.000000,1,290.71432285039634,[290.71432285039634],0.3344008611740132,[0.3344008611740132],0.4541187817569659,0.4541187817569659,0.4541187817569659,[0.4541187817569659],0.011975627447295,0.011975627447295,0.011975627447295,[0.011975627447295],-0.656,0.3378535193999916,[0.3378535193999916],Kite,Kite,1,['Kite']
20250430_1,2025-04-30 02:55:04.000000,2025-04-30 02:55:04.000000,1,303.3468926185116,[303.3468926185116],0.3320867146377892,[0.3320867146377892],0.5879015175611539,0.5879015175611539,0.5879015175611539,[0.5879015175611539],0.0198399685918526,0.0198399685918526,0.0198399685918526,[0.0198399685918526],-4.688,0.3380256240051888,[0.3380256240051888],Prow,Prow,1,['Prow']
20250430_2,2025-04-30 21:43:52.000000,2025-04-30 21:43:52.000000,1,304.0443779312508,[304.0443779312508],0.3346905766665725,[0.3346905766665725],0.6917099823630734,0.6917099823630734,0.6917099823630734,[0.6917099823630734],0.0145945985813665,0.0145945985813665,0.0145945985813665,[0.0145945985813665],-0.187,0.3378556029794807,[0.3378556029794807],Prow,Prow,1,['Prow']
20250501_1,2025-05-01 01:30:40.000000,2025-05-01 01:30:40.000000,1,302.2097742238081,[302.2097742238081],0.3223924644852204,[0.3223924644852204],0.7011122429129495,0.7011122429129495,0.7011122429129495,[0.7011122429129495],0.0092224996559338,0.0092224996559338,0.0092224996559338,[0.0092224996559338],-0.075,0.3253744471088342,[0.3253744471088342],Prow,Prow,1,['Prow']
20250501_2,2025-05-01 03:33:28.000000,2025-05-01 03:33:28.000000,1,307.9764467398655,[307.9764467398655],0.328236737565674,[0.328236737565674],0.7034926433078378,0.7034926433078378,0.7034926433078378,[0.7034926433078378],0.0164819480679708,0.0164819480679708,0.0164819480679708,[0.0164819480679708],0.515,0.3309154854658668,[0.3309154854658668],Prow,Prow,1,['Prow']
20250502_1,2025-05-02 12:31:56.000000,2025-05-02 12:31:56.000000,1,303.7021973046166,[303.7021973046166],0.336985253274274,[0.336985253274274],0.6411938833999035,0.6411938833999035,0.6411938833999035,[0.6411938833999035],0.0099598707585426,0.0099598707585426,0.0099598707585426,[0.0099598707585426],0.71,0.3396144234362482,[0.3396144234362482],Prow,Prow,1,['Prow']
20250504_1,2025-05-04 21:49:36.000000,2025-05-04 21:49:36.000000,1,306.21898295702675,[306.21898295702675],0.3180178535001126,[0.3180178535001126],0.6642272157309222,0.6642272157309222,0.6642272157309222,[0.6642272157309222],0.0176529352341854,0.0176529352341854,0.0176529352341854,[0.0176529352341854],-1.8,0.321977942708319,[0.321977942708319],Prow,Prow,1,['Prow']
20250507_1,2025-05-07 18:16:12.000000,2025-05-07 18:16:16.000000,2,307.7055448575913,"[307.7055448575913, 307.7055448575913]",0.3354104365231636,"[0.3354104365231636, 0.3354104365231636]",0.8368470166091273,0.8390429994854126,0.8346510337328421,"[0.8390429994854126, 0.8346510337328421]",0.0191438739707095,0.0191438739707095,0.0191438739707095,"[0.0191438739707095, 0.0191438739707095]",0.114,0.3383957448638177,"[0.3383957448638177, 0.3383957448638177]",Prow,Prow,1,"['Prow', 'Prow']"
20250510_1,2025-05-10 13:40:44.000000,2025-05-10 13:40:44.000000,1,303.7340106225963,[303.7340106225963],0.3359821564408188,[0.3359821564408188],0.8767356054458586,0.8767356054458586,0.8767356054458586,[0.8767356054458586],0.018322031633547,0.018322031633547,0.018322031633547,[0.018322031633547],-1.436,0.3399380175678954,[0.3399380175678954],Prow,Prow,1,['Prow']
20250511_1,2025-05-11 11:59:44.010000,2025-05-11 12:00:00.010000,4,303.35345018876563,"[305.40262325516466, 302.7465598240938, 302.6266968641878, 302.63792081161625]",0.3284563766965055,"[0.3270602116958911, 0.3271945647253614, 0.3291370601791963, 0.3304336701855732]",0.8684749227075941,0.900761751841644,0.8292080900647061,"[0.900761751841644, 0.898361171236424, 0.8455686776876021, 0.8292080900647061]",0.019304566326960124,0.0199205395324795,0.0190160177435421,"[0.0191815070861475, 0.0190160177435421, 0.0199205395324795, 0.0191002009456714]",-1.002,0.3320585417486918,"[0.3306470650746587, 0.3307828915472457, 0.332746690253915, 0.3340575201189479]",Prow,Prow,1,"['Prow', 'Prow', 'Prow', 'Prow']"
20250512_1,2025-05-12 23:42:48.000000,2025-05-12 23:42:48.000000,1,306.45085020231164,[306.45085020231164],0.3246007104084915,[0.3246007104084915],0.8055874813319,0.8055874813319,0.8055874813319,[0.8055874813319],0.0198549950288726,0.0198549950288726,0.0198549950288726,[0.0198549950288726],0.645,0.3271720850053386,[0.3271720850053386],Prow,Prow,1,['Prow']
20250517_1,2025-05-17 06:08:36.000000,2025-05-17 06:08:40.000000,2,308.97109064623703,"[308.97109064623703, 308.97109064623703]",0.3371343752940874,"[0.3371343752940874, 0.3371343752940874]",0.8318185213643393,0.8425713297903973,0.8210657129382813,"[0.8210657129382813, 0.8425713297903973]",0.0162394566288825,0.0162394566288825,0.0162394566288825,"[0.0162394566288825, 0.0162394566288825]",0.383,0.3399677372012178,"[0.3399677372012178, 0.3399677372012178]",Prow,Prow,1,"['Prow', 'Prow']"
20250518_1,2025-05-18 09:07:04.000000,2025-05-18 09:07:04.000000,1,308.81697569745177,[308.81697569745177],0.3342935813846062,[0.3342935813846062],0.8656500629366001,0.8656500629366001,0.8656500629366001,[0.8656500629366001],0.018321884077131,0.018321884077131,0.018321884077131,[0.018321884077131],0.111,0.3372708005479239,[0.3372708005479239],Prow,Prow,1,['Prow']
20250621_1,2025-06-21 11:38:28.010000,2025-06-21 11:38:40.010000,4,305.83783309027456,"[305.70837022107503, 305.80988342587125, 305.916539357076, 305.916539357076]",0.3283497308845181,"[0.3291564930159916, 0.3271799643206211, 0.3285312331007298, 0.3285312331007298]",0.8884765746020702,0.8910430186679348,0.8858765075043569,"[0.8858765075043569, 0.8874693030558816, 0.8895174691801075, 0.8910430186679348]",0.014494760098651124,0.0147473770418652,0.0139001716085452,"[0.0145841147023289, 0.0139001716085452, 0.0147473770418652, 0.0147473770418652]",-6.571,0.33540013229315135,"[0.3362242174078137, 0.3342052482308856, 0.335585531766953, 0.335585531766953]",Prow,Prow,1,"['Prow', 'Prow', 'Prow', 'Prow']"
20250711_1,2025-07-11 23:00:56.000000,2025-07-11 23:01:16.000000,6,283.0315686765451,"[283.739551746286, 284.3545724772607, 282.4388488045538, 282.4388488045538, 282.7579655954796, 282.4596246311365]",0.3295309886373648,"[0.3318439302133972, 0.3339939622134618, 0.328420170893226, 0.328420170893226, 0.3275934826925973, 0.3269142149182804]",0.3258232664171201,0.3756202758315497,0.2691154868874907,"[0.2691154868874907, 0.3251424677354841, 0.3756202758315497, 0.3613771614051653, 0.3361781298465729, 0.287506076796458]",0.006347403453971317,0.0073123755134923,0.0043980563974051,"[0.0050183298328395, 0.0043980563974051, 0.0073123755134923, 0.0073123755134923, 0.0072869637621058, 0.0067563197044929]",-9.24,0.33830457434959865,"[0.3406790967537305, 0.3428863722018684, 0.3371641816792013, 0.3371641816792013, 0.3363154833489168, 0.3356181304346737]",Kite,Kite,1,"['Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite']"
20250713_1,2025-07-13 09:43:19.999999,2025-07-13 09:43:31.999999,3,306.6314552357774,"[307.17919812345457, 306.3575837919389, 306.3575837919389]",0.32753740251057134,"[0.3230243100335649, 0.3297939487490746, 0.3297939487490746]",0.2980655022780508,0.3128543663825856,0.2709192656578155,"[0.2709192656578155, 0.3128543663825856, 0.3104228747937513]",0.014713679388761967,0.0187381408305223,0.0127014486678818,"[0.0187381408305223, 0.0127014486678818, 0.0127014486678818]",-4.92,0.33353910413043436,"[0.3289433150385613, 0.3358369986763709, 0.3358369986763709]",Prow,Prow,1,"['Prow', 'Prow', 'Prow']"
20250713_2,2025-07-13 09:44:43.999999,2025-07-13 09:44:43.999999,1,304.04427531705096,[304.04427531705096],0.320166168560105,[0.320166168560105],0.2910582746437803,0.2910582746437803,0.2910582746437803,[0.2910582746437803],0.01070970665994,0.01070970665994,0.01070970665994,[0.01070970665994],-4.92,0.3260328017987639,[0.3260328017987639],Prow,Prow,1,['Prow']
20250720_1,2025-07-20 04:52:32.000000,2025-07-20 04:52:32.000000,1,278.0309691393044,[278.0309691393044],0.3383709108184063,[0.3383709108184063],0.3182163984918048,0.3182163984918048,0.3182163984918048,[0.3182163984918048],0.0112247175702653,0.0112247175702653,0.0112247175702653,[0.0112247175702653],-3.789,0.3438469644776388,[0.3438469644776388],Kite,Kite,1,['Kite']
20250802_1,2025-08-02 09:55:28.000000,2025-08-02 09:56:04.000000,9,282.58523230320617,"[284.69039402990705, 283.6429890319012, 283.6429890319012, 283.6429890319012, 282.1920865578622, 282.05329211049053, 281.9856624586905, 281.0671288186911, 280.3495596575107]",0.3294458050894329,"[0.3365517143543704, 0.3324665990888582, 0.3324665990888582, 0.3324665990888582, 0.3285222574682094, 0.3247624931989114, 0.3244072224507077, 0.3264610264176038, 0.3269077346485186]",0.5808975385766844,0.6884827791873145,0.429956840456091,"[0.4802818765296227, 0.5885070814681358, 0.6431545791649674, 0.6723532381107007, 0.6884827791873145, 0.6493279225636136, 0.5954525557810043, 0.48056097392871, 0.429956840456091]",0.006674650789624355,0.0084138535830089,0.0048555456474408,"[0.0073653209215047, 0.0048555456474408, 0.0048555456474408, 0.0048555456474408, 0.0075704150700378, 0.0069665840340014, 0.0071926591881431, 0.0084138535830089, 0.0079963873676009]",0.266,0.3322856232392977,"[0.339452785340939, 0.3353324564399939, 0.3353324564399939, 0.3353324564399939, 0.331354114650727, 0.3275619412669518, 0.3272036080899563, 0.3292751158178089, 0.3297256746673149]",Kite,Kite,1,"['Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite', 'Kite']"
